molecule_id,Washed_smiles,SR,bioactivity_class
2715,c1ccc(cc1)C(C(C(=O)c2ccccc2)Br)Br,,active
2724,Cc1ccc(cc1)S(=O)(=O)c2ccccc2,,active
2737,c1ccc2c(c1)cccc2CCCS(=O)(=O)O,4,inactive
2752,C(=C/C(=O)O)\C(=O)O,4,inactive
2755,C[n+]1c2cc(ccc2cc3c1cc(cc3)N)N,6.13,active
2757,Cc1[nH]c2ccccc2c(=O)n1,,active
2760,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,,active
2770,C(=O)(C(=O)N)N,4,inactive
2785,COc1cc(c2c(c1O)cccn2)[N+](=O)[O-],4.687,inactive
2787,C(CO)CSCCO,4,inactive
2805,Cc1cc(c(cc1O)c2cc(c(cc2O)C)O)O,6.01,active
2819,c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O)O)O,4,inactive
2821,COc1cc(ccc1O)/C=C/C(=O)O,4,inactive
2829,Cc1c(c(=O)cco1)O,4,inactive
2833,c1cc(ccc1CCC(=O)c2c(cc(cc2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,,active
2902,c1cc(ccc1C(=O)N)[N+](=O)[O-],,active
2941,Cc1cc(cc([o+]1)C)SCC(=O)c2ccc(cc2)Br,4.643,inactive
2979,CC(C)C1(CCC2C3(CCCC(C3CC(C2(C1Cl)Cl)Cl)(C)C(=O)O)C)Cl,4.592,inactive
3001,CC1CCCC(C1)(CC(=O)O)CC(=O)O,4,inactive
3036,c1ccc2cc(ccc2c1)CCCC(=O)O,4.009,inactive
3039,c1ccc(cc1)CC(=O)O,,active
3051,CNC=O,2,inactive
3053,Cc1ccc(c2c1oc-3c(c(=O)c(c(c3n2)C(=O)N[C@H]4[C@@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]5CCCN5C(=O)[C@H](NC4=O)C(C)C)C)C)C(C)C)C)N)C)C(=O)N[C@H]6[C@@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C,9.9655,active
3055,CN(C)c1c2c(ncn1)n(cn2)C3C(C(C(O3)CO)NC(=O)[C@H](Cc4ccc(cc4)OC)N)O,6.859,active
3060,O[As]=O,4.723,inactive
3061,CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl,5.373,inactive
3062,CCc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl,6.122,active
3067,Cn1cc(cc1C(=O)Nc2cc(n(c2)C)C(=O)NCCC(=N)N)NC(=O)CNC(=N)N,4,inactive
3069,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],4,inactive
3073,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(=O)nc([nH]3)N,4,inactive
3074,CC1(N=C(N=C(N1c2ccc(cc2)Cl)N)N)C,4.689,inactive
3076,c1ccc(cc1)C2NC(=NC(=N2)N)Nc3ccccc3,,active
3077,CC1(N=C(N=C(N1c2ccc(c(c2)Cl)Cl)N)N)C,4.504,inactive
3080,CC1(N=C(N=C(N1c2cccc(c2)Cl)N)N)C,5.763,inactive
3081,CCCCCCC1N=C(N=C(N1c2ccc(cc2)Cl)N)N,5.524,inactive
3082,CC1(N=C(N=C(N1c2cccc(c2)Br)N)N)C,6.153,active
3083,CCCCCCC1N=C(N=C(N1c2cccc(c2)Cl)N)N,6.126,active
3088,c1cc(ccc1CCCC(=O)O)N(CCCl)CCCl,5.6605,inactive
3090,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,6.676,active
3091,CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,4.976,inactive
3093,CCN(CC)c1ccc2cc-3ccc(=[N+](CC)CC)cc3oc2c1,,active
3094,CN(C)/N=N/c1ccccc1,4,inactive
3204,c1ccc(cc1)C(c2ccccc2)SC(=N)N,4.62,inactive
3247,CC(=O)Nc1cc(ccc1O)[As](=O)(O)O,4,inactive
3262,c1c(c(cc(c1O)N2CC2)O)N3CC3,6.8,active
3265,c1ccc2c(c1)ccc(n2)/C=C/c3ccc(cc3)Cl,6.354,active
3271,c1ccc2c(c1)nc(s2)NN,4.274,inactive
3274,CCCCCCCCCCSC(=N)N,,active
3283,C[N+]1(CCCC1C2CCCN(C2)Cc3ccc(c(c3)Cl)Cl)Cc4ccc(c(c4)Cl)Cl,4,inactive
3284,C[N+]1(CCCC1c2cccnc2)CC[N+]3(CCCC3c4cccnc4)C,4,inactive
3298,C/C(=C/c1ccc(c(c1)OC)O)/[N+](=O)[O-],,active
3323,CN(C)c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)[N+](=O)[O-],4.043,inactive
3334,c1ccc(cc1)/C=C\2/C(=O)OC(=N2)c3ccccc3,4.546,inactive
3354,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5)O,4.749,inactive
3360,CC1C2C=CC3(CO3)C(O2)(OC1C(C)/C=C(\C)/C=C\C(=C/4\C(=O)C(N(C4=O)C5CCC(C(O5)C)O)C(C)C(=O)NC)\O)C,4,inactive
3364,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(/C(=C\C=C/C=C/C=C/C=C/C(C(OC1=O)C)O)/C)O)O)O)O)O)O)O)O,4.1505,inactive
3424,CC(CCCN(CCCl)CCCl)Nc1c2ccc(cc2nc3c1cc(cc3)OC)Cl,7.334,active
3505,CCCCCCCCCCCCSC(=N)N,5.747,inactive
3518,CCCCCCCCCCCCS/C(=N\C)/NC,5.864,inactive
3523,CCCCCCCCCCCCCCCCS/C(=N\CC)/NCC,5.907,inactive
3531,c1cc2c(cc(c(c2nc1)O)I)Cl,,active
3535,C[C@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,,active
3578,CCCCCC(CCCCC)(CCCCCCCCC1=C(C(=O)c2ccccc2C1=O)O)O,5.464,inactive
3589,COc1cc2cccnc2c(c1)NC(=N)NC(=N)N,,active
3590,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2CNc3c(c(nc(n3)N)O)N2C=O,,active
3611,CCCCCCN(CCCCCC)CCCNc1c2ccccc2ccn1,5.782,inactive
3618,c1cc2c(ccnc2cc1Cl)NC3CCC(CC3)NC4CCCCC4,,active
3627,c1cc(ccc1/C=C/C=C/C(=O)NC(=N)NC#N)Cl,4.137,inactive
3628,CCN(CC)c1ccc(cc1)NC(c2ccccc2)C(=O)c3ccccc3,6.226,active
3737,CCC1(C(=O)NC(=O)NC1=O)CCSC(=N)N,4,inactive
3752,Cc1ccc(cc1)S(=O)(=O)Nc2cc(=O)[nH]c3c2CCC3,4,inactive
3753,Cc1ccc(cc1)S(=O)(=O)Oc2cc(c3c(n2)CCC3)N,,active
3799,c1cc(cc(c1)[N+](=O)[O-])/C=C/C(=O)/C=C\c2cccc(c2)[N+](=O)[O-],,active
3801,CON,4,inactive
3808,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Br,5.807,inactive
3840,c1cc(sc1Cl)[Hg]Cl,6.496,active
3847,CCC(=O)c1cc(c(s1)Br)[N+](=O)[O-],5.922,inactive
3852,c1cc2c(ccc(c2nc1)O)N=O,6.484,active
3865,c1cc(c(cc1Cl)C(c2cc(ccc2O)Cl)C(Cl)(Cl)Cl)O,5.825,inactive
3877,c1cc[n+](cc1)C2c3ccccc3C(c4c2cccc4)[n+]5ccccc5,5.117,inactive
3894,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,4.6625,inactive
3905,c1ccnc(c1)c2cccc(n2)c3ccccn3,6.499,active
3907,c1cc2cccnc2c(c1)O,6.466,active
3927,CC(=O)Nc1c-2sscc2n(c1=O)C,6.629,active
3941,C/C(=C\c1ccc(c(c1)Cl)Cl)/[N+](=O)[O-],5.623,inactive
3947,c1cc(c(cc1Cl)O)Cc2ccc(cc2O)Cl,4.979,inactive
3970,c1c[nH]c(=O)[nH]c1=O,,active
3979,c1c(=O)cc(oc1C(=O)O)C(=O)O,4,inactive
4045,CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C,,active
4060,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,4.71,inactive
4112,c1cc(c(cc1Cl)Sc2cc(ccc2O)Cl)O,5.452,inactive
4114,C1COCCN1C(=S)S,5.985,inactive
4170,CC1=CC(=O)c2ccccc2C1=O,4.795,inactive
4184,c1cc(ccc1/C=C/c2ccc(cc2)O)O,6.69,active
4203,c1ccc2c(c1)ccc(c2/N=N/c3c4ccccc4c(cc3O)S(=O)(=O)O)O,4,inactive
4232,c1ccc(cc1)C(C(=O)c2ccccc2)Nc3cccc(c3)C(=O)O,4,inactive
4236,CN(C)c1ccc(cc1)/C=C/c2ccnc3c2cccc3,,active
4238,C[n+]1c(ccc2c1cccc2)/C=C/c3ccc(cc3)N(C)C,5.753,inactive
4239,C[n+]1ccc(c2c1cccc2)/C=C/c3ccc(cc3)N(C)C,6.156,active
4240,CCN(CC)c1ccc(cc1)/C=C/c2ccnc3c2cccc3,4,inactive
4265,c1cc2ccc3cccnc3c2nc1,5.99,inactive
4271,c1cc(ccc1C(c2ccc(cc2)[N+](=O)[O-])Br)[N+](=O)[O-],5.627,inactive
4272,Cc1cc2cccnc2c3c1cccn3,,active
4280,Cc1ccc2ccc3ccc(nc3c2n1)C,6.138,active
4281,Cc1ccnc2c1ccc3c2nccc3C,6.418,active
4285,c1ccc(cc1)NC2=C(C(=O)c3ccccc3C2=O)Cl,6.003,active
4290,CCCCCc1cc[n+](cc1)CC(=O)c2ccc(cc2)[N+](=O)[O-],,active
4291,CC(Cc1ccc(c(c1)O)O)C(C)Cc2ccc(c(c2)O)O,5.009,inactive
4292,c1ccc2cc(ccc2c1)C(=O)CSc3nc4ccc(cc4s3)[N+](=O)[O-],,active
4299,c1ccc2c(c1)cccc2/N=N/c3c4ccc(cc4cc(c3O)S(=O)(=O)O)S(=O)(=O)O,,active
4300,c1ccc2c(c1)c(ccc2S(=O)(=O)O)/N=N/c3c4ccc(cc4cc(c3O)S(=O)(=O)O)S(=O)(=O)O,,active
4301,c1ccc2c(c1)c(ccc2S(=O)(=O)O)/N=N/c3c(ccc4c3c(cc(c4)S(=O)(=O)O)S(=O)(=O)O)O,,active
